Year,Category,Amount,Type
2012,Natural Resources,14099868,Revenue
2003,Tax Revenue,15077704,Revenue
2005,Healthcare,48116195,Expense
2009,Infrastructure,11980928,Expense
2013,Defense,32016648,Expense
2002,Social Welfare,38265425,Expense
2004,Social Welfare,11770512,Expense
2020,Social Welfare,37742650,Expense
2018,Defense,25870762,Expense
2013,Healthcare,14919413,Expense
2022,Defense,18871207,Expense
2011,Infrastructure,45628310,Expense
2020,Foreign Aid,39402010,Revenue
2010,Healthcare,37606254,Expense
2000,Infrastructure,18133680,Expense
2020,Defense,12833600,Expense
2011,Infrastructure,1724002,Expense
2005,Education,46516122,Expense
2006,Tax Revenue,17657520,Revenue
2005,Social Welfare,17992555,Expense
2019,Natural Resources,29638083,Revenue
2007,Social Welfare,18105891,Expense
2001,Healthcare,44154749,Expense
2016,Education,19210090,Expense
2019,Social Welfare,35615915,Expense
2016,Foreign Aid,30410120,Revenue
2018,Defense,10324006,Expense
2016,Tax Revenue,3639936,Revenue
2011,Tax Revenue,34129903,Revenue
2002,Infrastructure,45298807,Expense
2006,Social Welfare,38790103,Expense
2020,Education,22596414,Expense
2014,Grants,30980964,Revenue
2001,Foreign Aid,18652300,Revenue
2022,Natural Resources,20034745,Revenue
2006,Healthcare,4357299,Expense
2008,Healthcare,32525717,Expense
2007,Infrastructure,12333250,Expense
2005,Tax Revenue,44520278,Revenue
2009,Infrastructure,25930462,Expense
2022,Infrastructure,1875700,Expense
2008,Foreign Aid,23768342,Revenue
2011,Tax Revenue,13745245,Revenue
2020,Grants,5144114,Revenue
2010,Tax Revenue,2416929,Revenue
2010,Foreign Aid,46296556,Revenue
2004,Tax Revenue,14344790,Revenue
2012,Tax Revenue,21742613,Revenue
2008,Healthcare,44866569,Expense
2018,Grants,33250412,Revenue
2017,Defense,41859895,Expense
2013,Defense,46950287,Expense
2009,Tax Revenue,11130393,Revenue
2002,Education,41515843,Expense
2022,Infrastructure,39452698,Expense
2001,Healthcare,16339355,Expense
2001,Tax Revenue,35329260,Revenue
2008,Healthcare,29623033,Expense
2005,Foreign Aid,20075105,Revenue
2003,Natural Resources,38392664,Revenue
2015,Defense,17365536,Expense
2014,Infrastructure,27120173,Expense
2016,Healthcare,43009443,Expense
2013,Healthcare,22061621,Expense
2022,Tax Revenue,17967126,Revenue
2013,Healthcare,44166677,Expense
2020,Natural Resources,18750101,Revenue
2022,Defense,14664884,Expense
2003,Tax Revenue,17356446,Revenue
2013,Social Welfare,34748133,Expense
2018,Grants,38371652,Revenue
2019,Foreign Aid,34956399,Revenue
2001,Healthcare,28614449,Expense
2009,Infrastructure,21284939,Expense
2003,Defense,14463014,Expense
2015,Healthcare,39109249,Expense
2007,Tax Revenue,8985527,Revenue
2015,Natural Resources,9433658,Revenue
2006,Education,46928206,Expense
2017,Natural Resources,25197535,Revenue
2016,Tax Revenue,49540318,Revenue
2020,Tax Revenue,3258607,Revenue
2011,Education,7439200,Expense
2006,Healthcare,31046178,Expense
2005,Social Welfare,16206494,Expense
2003,Social Welfare,34031022,Expense
2000,Social Welfare,3903195,Expense
2001,Foreign Aid,41619863,Revenue
2008,Tax Revenue,34859957,Revenue
2017,Natural Resources,18061350,Revenue
2020,Healthcare,5033373,Expense
2011,Social Welfare,31412343,Expense
2000,Defense,30247232,Expense
2007,Education,27023835,Expense
2002,Education,36889293,Expense
2019,Infrastructure,19020777,Expense
2014,Healthcare,4138144,Expense
2011,Defense,33677169,Expense
2012,Natural Resources,16419342,Revenue
2011,Foreign Aid,35627395,Revenue
2010,Grants,46932101,Revenue
2018,Healthcare,5000522,Expense
2023,Foreign Aid,10941752,Revenue
2006,Defense,34883341,Expense
2003,Defense,21642939,Expense
2003,Infrastructure,4572819,Expense
2006,Grants,1370345,Revenue
2011,Defense,8827809,Expense
2004,Social Welfare,49819939,Expense
2019,Foreign Aid,34911343,Revenue
2022,Foreign Aid,31891744,Revenue
2007,Healthcare,18346476,Expense
2006,Defense,3721938,Expense
2017,Defense,14300854,Expense
2002,Healthcare,35654778,Expense
2013,Natural Resources,37181792,Revenue
2009,Grants,20841029,Revenue
2023,Tax Revenue,13307179,Revenue
2002,Tax Revenue,30095485,Revenue
2023,Infrastructure,47942887,Expense
2019,Education,15816117,Expense
2003,Natural Resources,39044909,Revenue
2005,Foreign Aid,7797711,Revenue
2020,Social Welfare,48363026,Expense
2020,Education,20599524,Expense
2004,Healthcare,3435586,Expense
2012,Social Welfare,40370523,Expense
2010,Foreign Aid,6312673,Revenue
2006,Natural Resources,18724013,Revenue
2008,Social Welfare,49027407,Expense
2022,Natural Resources,25392004,Revenue
2022,Social Welfare,5363998,Expense
2005,Foreign Aid,3043937,Revenue
2009,Foreign Aid,19531858,Revenue
2003,Defense,2595084,Expense
2016,Foreign Aid,5687779,Revenue
2006,Tax Revenue,19159631,Revenue
2004,Defense,36778451,Expense
2017,Healthcare,39108377,Expense
2020,Social Welfare,10914782,Expense
2011,Defense,11532456,Expense
2009,Foreign Aid,28171981,Revenue
2013,Healthcare,27496297,Expense
2017,Healthcare,4815088,Expense
2018,Healthcare,8924872,Expense
2003,Infrastructure,36573793,Expense
2004,Healthcare,13670289,Expense
2016,Grants,27426782,Revenue
2009,Infrastructure,10547954,Expense
2020,Tax Revenue,27584247,Revenue
2005,Defense,13846536,Expense
2013,Social Welfare,36556600,Expense
2019,Education,29308980,Expense
2002,Foreign Aid,47404535,Revenue
2023,Natural Resources,5443054,Revenue
2019,Social Welfare,24310575,Expense
2009,Foreign Aid,13472296,Revenue
2018,Defense,2020197,Expense
2020,Infrastructure,36517074,Expense
2009,Social Welfare,9890459,Expense
2005,Grants,34725381,Revenue
2023,Natural Resources,36812350,Revenue
2004,Tax Revenue,10455191,Revenue
2009,Tax Revenue,42956888,Revenue
2016,Natural Resources,42367145,Revenue
2013,Healthcare,6678712,Expense
2013,Grants,33294613,Revenue
2011,Natural Resources,10035670,Revenue
2006,Education,30740764,Expense
2003,Grants,8785064,Revenue
2008,Infrastructure,16954026,Expense
2019,Tax Revenue,12586535,Revenue
2006,Education,24626816,Expense
2010,Education,4877542,Expense
2010,Defense,42821365,Expense
2009,Tax Revenue,36983083,Revenue
2006,Grants,13495405,Revenue
2020,Natural Resources,46698362,Revenue
2022,Tax Revenue,26572665,Revenue
2019,Foreign Aid,25244526,Revenue
2023,Social Welfare,8351146,Expense
2010,Education,3051073,Expense
2015,Education,48350975,Expense
2012,Tax Revenue,29498668,Revenue
2005,Grants,8506977,Revenue
2003,Grants,14038224,Revenue
2018,Social Welfare,42614405,Expense
2008,Infrastructure,24813484,Expense
2008,Tax Revenue,4034948,Revenue
2018,Healthcare,37163546,Expense
2014,Healthcare,2089996,Expense
2005,Natural Resources,11876093,Revenue
2007,Tax Revenue,47716911,Revenue
2008,Defense,18564545,Expense
2008,Healthcare,40517616,Expense
2002,Defense,18457843,Expense
2005,Tax Revenue,40365534,Revenue
2005,Tax Revenue,47219412,Revenue
2022,Defense,20735356,Expense
2012,Natural Resources,42060300,Revenue
2007,Foreign Aid,39673177,Revenue
2002,Education,25130766,Expense
2007,Healthcare,38027866,Expense
2004,Grants,12011808,Revenue
2010,Education,10383728,Expense
2017,Grants,29339475,Revenue
2000,Foreign Aid,21843242,Revenue
2015,Natural Resources,32647341,Revenue
2022,Infrastructure,28865461,Expense
2018,Tax Revenue,4579230,Revenue
2017,Foreign Aid,19215562,Revenue
2010,Defense,17194657,Expense
2002,Social Welfare,16718413,Expense
2006,Social Welfare,46220952,Expense
2020,Defense,35543440,Expense
2012,Grants,32006285,Revenue
2014,Social Welfare,46496769,Expense
2001,Foreign Aid,37943327,Revenue
2018,Foreign Aid,31573658,Revenue
2020,Social Welfare,1702512,Expense
2002,Education,12056088,Expense
2015,Infrastructure,36216702,Expense
2018,Defense,18523753,Expense
2008,Tax Revenue,11060220,Revenue
2020,Infrastructure,20403155,Expense
2014,Infrastructure,5221297,Expense
2014,Education,23380549,Expense
2010,Tax Revenue,10784977,Revenue
2023,Social Welfare,41803854,Expense
2007,Education,27645323,Expense
2015,Infrastructure,3132837,Expense
2007,Healthcare,7963565,Expense
2000,Natural Resources,25333071,Revenue
2018,Defense,25827256,Expense
2020,Natural Resources,7115067,Revenue
2022,Defense,35720642,Expense
2005,Education,4931643,Expense
2004,Healthcare,6102884,Expense
2013,Education,11418985,Expense
2004,Social Welfare,4350774,Expense
2015,Healthcare,22231333,Expense
2006,Defense,2790156,Expense
2007,Defense,29925049,Expense
2009,Infrastructure,12310854,Expense
2018,Grants,15662035,Revenue
2005,Tax Revenue,2148753,Revenue
2009,Infrastructure,47435833,Expense
2022,Tax Revenue,18063060,Revenue
2012,Infrastructure,6351384,Expense
2010,Grants,20847120,Revenue
2011,Defense,30049924,Expense
2005,Social Welfare,12537791,Expense
2021,Grants,15613337,Revenue
2006,Grants,11899988,Revenue
2006,Tax Revenue,25971168,Revenue
2010,Defense,35733559,Expense
2020,Foreign Aid,21829509,Revenue
2008,Defense,47741977,Expense
2014,Natural Resources,13020291,Revenue
2018,Defense,47137442,Expense
2016,Healthcare,5563425,Expense
2013,Social Welfare,4893850,Expense
2006,Healthcare,30777966,Expense
2000,Education,8751694,Expense
2008,Infrastructure,28971628,Expense
2003,Education,15089039,Expense
2004,Infrastructure,6008697,Expense
2011,Infrastructure,24460960,Expense
2002,Social Welfare,15761788,Expense
2023,Foreign Aid,12477565,Revenue
2018,Grants,44580646,Revenue
2011,Defense,28905991,Expense
2013,Natural Resources,48096198,Revenue
2022,Social Welfare,26857783,Expense
2001,Education,26001183,Expense
2008,Grants,35364390,Revenue
2022,Infrastructure,7365120,Expense
2010,Tax Revenue,37855740,Revenue
2009,Social Welfare,10951919,Expense
2010,Natural Resources,11216812,Revenue
2012,Natural Resources,47930360,Revenue
2015,Education,39725952,Expense
2010,Tax Revenue,12180475,Revenue
2008,Tax Revenue,18716218,Revenue
2012,Grants,32494186,Revenue
2001,Grants,49287561,Revenue
2018,Defense,10881279,Expense
2022,Defense,45644704,Expense
2012,Foreign Aid,49823864,Revenue
2017,Tax Revenue,3021941,Revenue
2014,Foreign Aid,47398059,Revenue
2000,Natural Resources,16129826,Revenue
2018,Social Welfare,6873178,Expense
2012,Foreign Aid,44973861,Revenue
2019,Defense,3366154,Expense
2008,Defense,1894029,Expense
2010,Natural Resources,8422069,Revenue
2020,Healthcare,1963817,Expense
2009,Healthcare,32806902,Expense
2017,Defense,25268724,Expense
2000,Healthcare,33227676,Expense
2017,Infrastructure,46207778,Expense
2013,Natural Resources,46270517,Revenue
2012,Social Welfare,1238842,Expense
2001,Natural Resources,17466354,Revenue
2015,Social Welfare,27289257,Expense
2009,Social Welfare,18518988,Expense
2020,Natural Resources,28236815,Revenue
2013,Defense,47934381,Expense
2005,Social Welfare,4184579,Expense
2006,Natural Resources,43051795,Revenue
2017,Natural Resources,30847637,Revenue
2007,Healthcare,2024852,Expense
2008,Foreign Aid,29271956,Revenue
2022,Tax Revenue,3803582,Revenue
2017,Natural Resources,15139007,Revenue
2000,Social Welfare,4053554,Expense
2003,Infrastructure,22862952,Expense
2005,Education,33372155,Expense
2021,Social Welfare,47990984,Expense
2020,Social Welfare,4460463,Expense
2009,Tax Revenue,33947462,Revenue
2015,Foreign Aid,42067832,Revenue
2022,Education,8068221,Expense
2000,Infrastructure,19275684,Expense
2012,Social Welfare,2925280,Expense
2009,Grants,37801529,Revenue
2020,Infrastructure,2109512,Expense
2018,Tax Revenue,29161690,Revenue
2018,Healthcare,7991177,Expense
2000,Healthcare,27405377,Expense
2009,Infrastructure,41205390,Expense
2011,Foreign Aid,41422121,Revenue
2020,Healthcare,45529444,Expense
2016,Education,1901013,Expense
2016,Healthcare,49248478,Expense
2002,Social Welfare,49343353,Expense
2013,Defense,10023509,Expense
2011,Grants,8552966,Revenue
2008,Defense,49924340,Expense
2022,Tax Revenue,40804932,Revenue
2008,Infrastructure,8850218,Expense
2006,Foreign Aid,21859344,Revenue
2003,Education,46775042,Expense
2006,Education,39118918,Expense
2011,Social Welfare,20767874,Expense
2008,Healthcare,17631798,Expense
2014,Infrastructure,26329480,Expense
2003,Defense,44725235,Expense
2009,Foreign Aid,32113842,Revenue
2013,Defense,9705093,Expense
2000,Foreign Aid,8480442,Revenue
2013,Foreign Aid,47198536,Revenue
2020,Social Welfare,23218633,Expense
2020,Infrastructure,48151827,Expense
2010,Education,25325312,Expense
2020,Infrastructure,49430207,Expense
2010,Defense,48902770,Expense
2013,Grants,20678978,Revenue
2023,Foreign Aid,49101285,Revenue
2014,Natural Resources,31414618,Revenue
2004,Education,24567572,Expense
2021,Defense,8370964,Expense
2018,Infrastructure,35196369,Expense
2020,Tax Revenue,37658910,Revenue
2020,Education,20832499,Expense
2016,Defense,11872266,Expense
2021,Natural Resources,37023061,Revenue
2001,Social Welfare,27056385,Expense
2009,Healthcare,48236566,Expense
2003,Infrastructure,29763080,Expense
2016,Tax Revenue,13331174,Revenue
2011,Defense,4758782,Expense
2005,Social Welfare,3208269,Expense
2002,Defense,16010000,Expense
2017,Natural Resources,21832286,Revenue
2023,Defense,28194911,Expense
2001,Defense,2786184,Expense
2008,Social Welfare,31387205,Expense
2013,Infrastructure,43538482,Expense
2007,Foreign Aid,23676847,Revenue
2005,Healthcare,32594749,Expense
2011,Defense,25845372,Expense
2022,Healthcare,35195312,Expense
2012,Infrastructure,24927233,Expense
2018,Defense,4700549,Expense
2005,Defense,26364847,Expense
2004,Defense,36877701,Expense
2009,Grants,36974992,Revenue
2004,Foreign Aid,41375443,Revenue
2003,Infrastructure,45876671,Expense
2020,Grants,43192666,Revenue
2020,Social Welfare,3612905,Expense
2004,Foreign Aid,44175693,Revenue
2000,Tax Revenue,39851228,Revenue
2004,Infrastructure,16883680,Expense
2018,Grants,21566953,Revenue
2006,Social Welfare,16613728,Expense
2018,Infrastructure,45656771,Expense
2019,Healthcare,20091231,Expense
2011,Natural Resources,18835157,Revenue
2020,Natural Resources,33184834,Revenue
2022,Infrastructure,29137829,Expense
2010,Foreign Aid,39160757,Revenue
2002,Infrastructure,38594728,Expense
2017,Healthcare,10689882,Expense
2014,Tax Revenue,2461014,Revenue
2018,Tax Revenue,6289883,Revenue
2011,Defense,2079305,Expense
2000,Infrastructure,35049211,Expense
2020,Grants,17064817,Revenue
2008,Natural Resources,34254765,Revenue
2023,Tax Revenue,3774409,Revenue
2001,Natural Resources,26942558,Revenue
2023,Infrastructure,27116747,Expense
2013,Healthcare,38845836,Expense
2001,Social Welfare,10844985,Expense
2001,Tax Revenue,26455636,Revenue
2016,Grants,44634516,Revenue
2018,Foreign Aid,44080179,Revenue
2004,Social Welfare,13886809,Expense
2004,Education,17657407,Expense
2023,Education,43493393,Expense
2013,Foreign Aid,27098973,Revenue
2020,Infrastructure,31179478,Expense
2004,Social Welfare,47629690,Expense
2021,Grants,28582961,Revenue
2015,Natural Resources,40370977,Revenue
2018,Grants,19104232,Revenue
2009,Social Welfare,29765356,Expense
2007,Healthcare,38299767,Expense
2022,Social Welfare,41198439,Expense
2012,Defense,44388260,Expense
2015,Foreign Aid,30330484,Revenue
2002,Social Welfare,22164041,Expense
2019,Social Welfare,47566538,Expense
2020,Foreign Aid,17808974,Revenue
2013,Defense,19566965,Expense
2008,Healthcare,29386093,Expense
2002,Defense,7941440,Expense
2005,Natural Resources,7298985,Revenue
2011,Healthcare,48858628,Expense
2002,Foreign Aid,49873669,Revenue
2000,Education,29201853,Expense
2015,Infrastructure,6780952,Expense
2021,Healthcare,13578638,Expense
2010,Grants,10639761,Revenue
2010,Defense,7871617,Expense
2018,Social Welfare,29852595,Expense
2010,Natural Resources,22840492,Revenue
2021,Natural Resources,37473705,Revenue
2012,Defense,7245023,Expense
2002,Healthcare,44374322,Expense
2012,Defense,14200286,Expense
2020,Foreign Aid,7392617,Revenue
2000,Social Welfare,4679607,Expense
2022,Social Welfare,41551597,Expense
2003,Foreign Aid,27163264,Revenue
2015,Healthcare,27238847,Expense
2001,Social Welfare,22885545,Expense
2007,Foreign Aid,8313750,Revenue
2021,Natural Resources,13836651,Revenue
2010,Foreign Aid,8338386,Revenue
2012,Grants,30423183,Revenue
2021,Social Welfare,3933663,Expense
2001,Natural Resources,5683813,Revenue
2015,Healthcare,12736468,Expense
2023,Grants,2041542,Revenue
2014,Infrastructure,10545876,Expense
2013,Social Welfare,47621034,Expense
2004,Infrastructure,4581834,Expense
2014,Education,19677256,Expense
2006,Grants,2074507,Revenue
2015,Grants,20704349,Revenue
2006,Foreign Aid,22050659,Revenue
2010,Tax Revenue,13471128,Revenue
2008,Natural Resources,44962955,Revenue
2023,Healthcare,43159280,Expense
2019,Healthcare,4522344,Expense
2002,Social Welfare,32134547,Expense
2015,Foreign Aid,24416360,Revenue
2023,Infrastructure,18454230,Expense
2001,Natural Resources,14280655,Revenue
2002,Education,45137957,Expense
2004,Defense,10658509,Expense
2008,Healthcare,28737757,Expense
2017,Foreign Aid,34132164,Revenue
2007,Foreign Aid,13035951,Revenue
2013,Natural Resources,35971864,Revenue
2003,Social Welfare,36219882,Expense
2000,Education,15362426,Expense
2017,Defense,23267060,Expense
2020,Grants,16574615,Revenue
2012,Tax Revenue,45168709,Revenue
2003,Education,28039913,Expense
2017,Tax Revenue,38366341,Revenue
2014,Grants,3220014,Revenue
2009,Education,39530719,Expense
2006,Infrastructure,7203045,Expense
2002,Infrastructure,6688236,Expense
2013,Infrastructure,21829354,Expense
2019,Healthcare,37012751,Expense
2003,Grants,26861925,Revenue
2002,Foreign Aid,46942471,Revenue
2003,Social Welfare,15486738,Expense
2017,Natural Resources,41671365,Revenue
2023,Grants,44590490,Revenue
2007,Grants,13484681,Revenue
2000,Social Welfare,37627887,Expense
2007,Defense,21907694,Expense
2003,Tax Revenue,2866965,Revenue
2008,Education,48141119,Expense
2013,Education,32788321,Expense
2016,Tax Revenue,32556073,Revenue
2011,Social Welfare,30463784,Expense
2012,Social Welfare,19077405,Expense
2012,Tax Revenue,35894927,Revenue
2014,Healthcare,11469888,Expense
2017,Social Welfare,25313097,Expense
2021,Grants,37201392,Revenue
2021,Social Welfare,5942824,Expense
2006,Infrastructure,21474677,Expense
2018,Education,29523423,Expense
2000,Infrastructure,6605933,Expense
2022,Foreign Aid,23366799,Revenue
2014,Healthcare,8541920,Expense
2002,Foreign Aid,5373321,Revenue
2017,Healthcare,35360446,Expense
2003,Foreign Aid,36371161,Revenue
2008,Infrastructure,31421815,Expense
2012,Grants,36525273,Revenue
2016,Grants,20017424,Revenue
2020,Infrastructure,35509990,Expense
2016,Natural Resources,7634103,Revenue
2003,Healthcare,1165937,Expense
2012,Education,37513066,Expense
2009,Tax Revenue,13294894,Revenue
2005,Infrastructure,42737678,Expense
2023,Foreign Aid,8675050,Revenue
2010,Natural Resources,32252552,Revenue
2016,Defense,2334662,Expense
2012,Grants,46511024,Revenue
2019,Infrastructure,11027302,Expense
2016,Social Welfare,2029456,Expense
2014,Foreign Aid,26903986,Revenue
2009,Infrastructure,23926535,Expense
2002,Infrastructure,13749618,Expense
2023,Social Welfare,16211532,Expense
2022,Education,14123570,Expense
2001,Education,16067284,Expense
2013,Healthcare,27146197,Expense
2012,Defense,22983157,Expense
2000,Foreign Aid,39171844,Revenue
2019,Infrastructure,31865466,Expense
2001,Infrastructure,16249783,Expense
2009,Social Welfare,42487064,Expense
2005,Education,30961121,Expense
2021,Defense,8910753,Expense
2021,Social Welfare,8977844,Expense
2016,Education,42545703,Expense
2011,Healthcare,36261486,Expense
2005,Healthcare,18755738,Expense
2010,Foreign Aid,27412609,Revenue
2014,Tax Revenue,31326829,Revenue
2018,Tax Revenue,2118828,Revenue
2007,Grants,38992026,Revenue
2011,Foreign Aid,23574619,Revenue
2002,Social Welfare,1944552,Expense
2016,Education,30121888,Expense
2019,Social Welfare,8228136,Expense
2015,Grants,3019409,Revenue
2021,Defense,36427058,Expense
2017,Foreign Aid,3746292,Revenue
2015,Healthcare,19016117,Expense
2009,Grants,28851608,Revenue
2000,Tax Revenue,28511602,Revenue
2008,Infrastructure,36163536,Expense
2019,Social Welfare,21055180,Expense
2004,Tax Revenue,41618483,Revenue
2017,Infrastructure,5813199,Expense
2020,Foreign Aid,15776738,Revenue
2023,Defense,16592314,Expense
2009,Education,11930822,Expense
2018,Defense,49203745,Expense
2019,Healthcare,18583205,Expense
2009,Healthcare,19223868,Expense
2015,Defense,43976631,Expense
2020,Tax Revenue,49414938,Revenue
2015,Natural Resources,49634028,Revenue
2008,Education,25531506,Expense
2015,Foreign Aid,49653763,Revenue
2021,Healthcare,17207219,Expense
2003,Education,17326673,Expense
2009,Natural Resources,25093194,Revenue
2007,Defense,49884879,Expense
2003,Infrastructure,20295093,Expense
2008,Natural Resources,40433233,Revenue
2017,Education,8288780,Expense
2010,Defense,4045671,Expense
2010,Grants,48470492,Revenue
2003,Natural Resources,38818843,Revenue
2023,Infrastructure,21503994,Expense
2014,Infrastructure,27561890,Expense
2022,Defense,48256498,Expense
2002,Grants,20691530,Revenue
2001,Infrastructure,41907564,Expense
2000,Education,35680707,Expense
2010,Natural Resources,28833897,Revenue
2013,Infrastructure,30205516,Expense
2022,Infrastructure,1095246,Expense
2010,Defense,19024926,Expense
2009,Tax Revenue,26109982,Revenue
2000,Natural Resources,18834013,Revenue
2017,Foreign Aid,29283100,Revenue
2017,Foreign Aid,1782285,Revenue
2014,Tax Revenue,26551155,Revenue
2008,Grants,18570251,Revenue
2002,Tax Revenue,46301271,Revenue
2014,Defense,6226860,Expense
2022,Education,25452841,Expense
2020,Natural Resources,3347357,Revenue
2002,Social Welfare,30936200,Expense
2002,Social Welfare,32836184,Expense
2001,Tax Revenue,44670861,Revenue
2003,Natural Resources,30102242,Revenue
2003,Tax Revenue,24385452,Revenue
2001,Foreign Aid,41278526,Revenue
2016,Tax Revenue,40329422,Revenue
2005,Healthcare,5533827,Expense
2009,Foreign Aid,26463106,Revenue
2007,Natural Resources,28575506,Revenue
2011,Natural Resources,43116963,Revenue
2021,Foreign Aid,21794524,Revenue
2004,Infrastructure,25053177,Expense
2020,Defense,33778481,Expense
2014,Healthcare,38581052,Expense
2012,Social Welfare,46778190,Expense
2020,Foreign Aid,2613892,Revenue
2014,Grants,23602591,Revenue
2021,Grants,19853637,Revenue
2001,Natural Resources,10992963,Revenue
2020,Natural Resources,48963251,Revenue
2012,Social Welfare,32301856,Expense
2023,Tax Revenue,16326041,Revenue
2016,Tax Revenue,4648024,Revenue
2020,Infrastructure,37755581,Expense
2012,Natural Resources,17039549,Revenue
2013,Tax Revenue,4056692,Revenue
2020,Social Welfare,37930164,Expense
2014,Healthcare,29265972,Expense
2007,Defense,49088208,Expense
2022,Education,11901076,Expense
2015,Defense,19870080,Expense
2018,Foreign Aid,35077688,Revenue
2023,Foreign Aid,47881182,Revenue
2017,Infrastructure,18200813,Expense
2015,Natural Resources,30564535,Revenue
2006,Grants,39789504,Revenue
2000,Tax Revenue,6584455,Revenue
2012,Natural Resources,25857571,Revenue
2021,Education,42867175,Expense
2022,Natural Resources,30434007,Revenue
2005,Infrastructure,44113372,Expense
2017,Foreign Aid,33882100,Revenue
2020,Grants,11560986,Revenue
2004,Education,35408596,Expense
2018,Defense,28882037,Expense
2003,Social Welfare,28712468,Expense
2006,Defense,17067483,Expense
2018,Natural Resources,26865952,Revenue
2005,Natural Resources,32571013,Revenue
2019,Foreign Aid,12908021,Revenue
2022,Healthcare,41077349,Expense
2005,Grants,27490727,Revenue
2023,Infrastructure,42452784,Expense
2015,Infrastructure,17122059,Expense
2012,Social Welfare,1956135,Expense
2018,Infrastructure,1778677,Expense
2022,Social Welfare,27090265,Expense
2013,Social Welfare,38674217,Expense
2008,Healthcare,16718261,Expense
2014,Defense,8362808,Expense
2004,Grants,45626627,Revenue
2001,Infrastructure,13528936,Expense
2001,Social Welfare,18935107,Expense
2012,Natural Resources,42830099,Revenue
2018,Infrastructure,26511850,Expense
2012,Foreign Aid,14298900,Revenue
2009,Foreign Aid,12559149,Revenue
2010,Natural Resources,15696820,Revenue
2011,Healthcare,8301882,Expense
2012,Infrastructure,40809818,Expense
2010,Infrastructure,40999468,Expense
2020,Infrastructure,28720587,Expense
2001,Social Welfare,33333624,Expense
2005,Natural Resources,39077395,Revenue
2008,Foreign Aid,27450165,Revenue
2023,Natural Resources,3620191,Revenue
2012,Tax Revenue,1792659,Revenue
2005,Social Welfare,4217755,Expense
2002,Foreign Aid,8409125,Revenue
2014,Social Welfare,6602435,Expense
2018,Healthcare,5569407,Expense
2017,Grants,30832641,Revenue
2017,Education,36374573,Expense
2012,Education,32171687,Expense
2016,Healthcare,19653382,Expense
2008,Tax Revenue,40499664,Revenue
2004,Education,4744483,Expense
2009,Infrastructure,48902940,Expense
2014,Foreign Aid,34039875,Revenue
2009,Social Welfare,19788881,Expense
2006,Tax Revenue,38618685,Revenue
2023,Social Welfare,22473687,Expense
2012,Infrastructure,41235914,Expense
2001,Foreign Aid,1962105,Revenue
2006,Tax Revenue,36149778,Revenue
2014,Education,35483705,Expense
2020,Healthcare,9273676,Expense
2022,Education,7083212,Expense
2006,Education,43009798,Expense
2011,Healthcare,37807111,Expense
2015,Defense,47700673,Expense
2011,Natural Resources,13913984,Revenue
2014,Foreign Aid,43895834,Revenue
2021,Defense,14849345,Expense
2014,Defense,40240435,Expense
2013,Infrastructure,48986024,Expense
2022,Education,48614567,Expense
2006,Tax Revenue,20543030,Revenue
2007,Infrastructure,39103340,Expense
2018,Healthcare,45907139,Expense
2014,Grants,10178847,Revenue
2022,Tax Revenue,20187798,Revenue
2009,Defense,49848936,Expense
2011,Healthcare,1594478,Expense
2005,Defense,25142391,Expense
2017,Grants,39128386,Revenue
2023,Healthcare,37136496,Expense
2014,Social Welfare,44785357,Expense
2005,Education,18086549,Expense
2016,Grants,45189260,Revenue
2002,Infrastructure,14923076,Expense
2010,Social Welfare,47375447,Expense
2017,Social Welfare,14019846,Expense
2010,Natural Resources,38440264,Revenue
2003,Natural Resources,7867859,Revenue
2004,Education,32251118,Expense
2015,Defense,39007601,Expense
2000,Healthcare,44884759,Expense
2005,Infrastructure,17492837,Expense
2001,Social Welfare,25376379,Expense
2018,Infrastructure,27849702,Expense
2022,Tax Revenue,44378907,Revenue
2015,Healthcare,8619207,Expense
2005,Natural Resources,5954667,Revenue
2019,Social Welfare,6305943,Expense
2008,Education,2708552,Expense
2008,Grants,6956667,Revenue
2019,Healthcare,38808726,Expense
2017,Education,48929183,Expense
2008,Infrastructure,5319313,Expense
2002,Education,40285286,Expense
2023,Natural Resources,5612775,Revenue
2004,Defense,23191596,Expense
2010,Social Welfare,9899659,Expense
2021,Healthcare,22460673,Expense
2006,Social Welfare,37497255,Expense
2001,Education,11915360,Expense
2007,Education,13781766,Expense
2020,Defense,16370516,Expense
2022,Social Welfare,13411119,Expense
2010,Grants,18430920,Revenue
2003,Healthcare,31637789,Expense
2003,Grants,32008631,Revenue
2002,Infrastructure,35192608,Expense
2013,Foreign Aid,19405584,Revenue
2009,Infrastructure,20345124,Expense
2009,Grants,43671717,Revenue
2010,Healthcare,9872159,Expense
2019,Natural Resources,29250897,Revenue
2009,Foreign Aid,16378959,Revenue
2022,Social Welfare,25889280,Expense
2018,Infrastructure,30125684,Expense
2012,Defense,49053618,Expense
2014,Healthcare,22854660,Expense
2022,Tax Revenue,14914013,Revenue
2007,Tax Revenue,15658621,Revenue
2011,Defense,33551222,Expense
2015,Education,29324429,Expense
2016,Education,28912067,Expense
2019,Foreign Aid,11573974,Revenue
2016,Grants,11038212,Revenue
2004,Social Welfare,45253586,Expense
2003,Natural Resources,21784315,Revenue
2009,Defense,6609490,Expense
2021,Grants,1162411,Revenue
2007,Natural Resources,4135635,Revenue
2022,Social Welfare,42673671,Expense
